Pays,Genre,Age,Desabonnement,CreditScore,Ancienneté,Balance,NbrDeProduit,CarteDeCredit,MembreActif,SalaireEstimé
France,Female,42,1,619,2,0,1,1,1,101349
Spain,Female,41,0,608,1,83808,1,0,1,112543
France,Female,42,1,502,8,159661,3,1,0,113932
France,Female,39,0,699,1,0,2,0,0,93827
Spain,Female,43,0,850,2,125511,1,1,1,79084
Spain,Male,44,1,645,8,113756,2,1,0,149757
France,Male,50,0,822,7,0,2,1,1,10063
Germany,Female,29,1,376,4,115047,4,1,0,119347
France,Male,44,0,501,4,142051,2,0,1,74940
France,Male,27,0,684,2,134604,1,1,1,71726
France,Male,31,0,528,6,102017,2,0,0,80181
Spain,Male,24,0,497,3,0,2,1,0,76390
France,Female,34,0,476,10,0,2,1,0,26261
France,Female,25,0,549,5,0,2,0,0,190858
Spain,Female,35,0,635,7,0,2,1,1,65952
Germany,Male,45,0,616,3,143129,2,0,1,64327
Germany,Male,58,1,653,1,132603,1,1,0,5098
Spain,Female,24,0,549,9,0,2,1,1,14406
Spain,Male,45,0,587,6,0,1,0,0,158685
France,Female,24,0,726,6,0,2,1,1,54724
France,Male,41,0,732,8,0,2,1,1,170886
Spain,Female,32,0,636,8,0,2,1,0,138555
Spain,Female,38,1,510,4,0,1,1,0,118914
France,Male,46,0,669,3,0,2,0,1,8488
France,Female,38,0,846,5,0,1,1,1,187616
France,Male,25,0,577,3,0,2,0,1,124508
Germany,Male,36,0,756,2,136816,1,1,1,170042
France,Male,44,0,571,9,0,2,0,0,38433
Germany,Female,43,0,574,3,141349,1,1,1,100187
France,Male,29,0,411,0,59697,2,1,1,53483
Spain,Female,39,1,591,3,0,3,1,0,140469
France,Male,36,0,533,7,85312,1,0,1,156732
Germany,Male,41,0,553,9,110113,2,0,0,81899
Spain,Female,42,0,520,6,0,2,1,1,34411
Spain,Female,29,0,722,9,0,2,1,1,142033
France,Female,45,1,475,0,134264,1,1,0,27823
Spain,Male,31,0,490,3,145260,1,0,1,114067
Spain,Male,33,0,804,7,76549,1,0,1,98453
France,Male,36,0,850,7,0,1,1,1,40813
Germany,Male,41,0,582,6,70349,2,0,1,178074
Spain,Male,40,0,472,4,0,1,1,0,70154
France,Female,51,1,465,8,122522,1,0,0,181298
France,Female,61,0,556,2,117419,1,1,1,94154
France,Female,49,1,834,2,131395,1,0,0,194366
Spain,Female,61,0,660,5,155931,1,1,1,158338
Germany,Female,32,0,776,4,109421,2,1,1,126517
Germany,Female,27,1,829,9,112046,1,1,1,119708
Germany,Female,39,1,637,9,137844,1,1,1,117623
Germany,Male,38,0,550,2,103391,1,0,1,90878
Germany,Female,37,0,776,2,103769,2,1,0,194099
Germany,Male,44,0,698,10,116363,2,1,0,198059
Germany,Male,36,0,585,5,146051,2,0,0,86425
France,Female,33,0,788,5,0,2,0,0,116978
Germany,Male,41,1,655,8,125562,1,0,0,164041
Germany,Male,42,1,601,1,98496,1,1,0,40015
France,Male,43,0,619,1,125212,1,1,1,113410
France,Male,45,0,656,5,127864,1,1,0,87108
Germany,Male,19,0,725,0,75888,1,0,0,45614
Spain,Female,66,1,511,4,0,1,1,0,1643
France,Male,51,0,614,4,40686,1,1,1,46775
Germany,Male,35,0,742,5,136857,1,0,0,84510
Germany,Female,27,0,687,9,152329,2,0,0,126495
Spain,Male,33,0,555,1,56085,2,0,0,178798
Spain,Male,56,0,684,8,78707,1,1,1,99398
Germany,Male,26,0,603,4,109166,1,1,1,92841
Germany,Female,36,0,751,6,169831,2,1,1,27758
Germany,Female,34,0,581,1,101633,1,1,0,110432
Germany,Male,43,0,735,10,123180,2,1,1,196673
Germany,Female,35,0,661,5,150726,2,0,1,113657
France,Female,21,0,675,8,98373,1,1,0,18203
Germany,Male,58,1,738,2,133745,4,1,0,28374
France,Male,29,0,813,6,0,1,1,0,33954
Spain,Female,37,0,657,0,163607,1,0,1,44204
Germany,Female,25,0,604,5,157781,2,1,1,58427
France,Male,36,0,519,9,0,2,0,1,145562
France,Female,21,0,735,1,178718,2,1,0,22388
France,Male,55,0,664,8,0,2,1,1,139162
France,Female,32,0,678,9,0,1,1,1,148211
Spain,Male,33,0,757,5,77253,1,0,1,194240
Germany,Female,41,0,416,10,122190,2,1,0,98302
France,Female,34,0,665,1,96646,2,0,0,171414
France,Female,32,1,777,2,0,1,1,0,136458
France,Female,36,0,543,3,0,2,0,0,26020
France,Female,34,0,506,4,90308,1,1,1,159235
France,Female,46,0,493,4,0,2,1,0,1908
Spain,Female,75,0,652,10,0,2,1,1,114676
Spain,Male,22,1,750,3,121682,1,1,0,128643
France,Male,30,0,729,9,0,2,1,0,151869
France,Female,46,1,646,4,0,3,1,0,93251
Germany,Female,28,0,635,3,81624,2,1,1,156791
Spain,Female,44,1,647,5,0,3,1,1,174205
France,Male,45,0,808,7,118627,2,1,0,147132
France,Female,36,0,524,10,0,2,1,0,109615
